Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.7739,0.0000
2,0.8169,0.0000
3,0.8191,0.0000
4,0.8308,0.0000
5,0.8345,0.0000
6,0.8311,0.0000
7,0.8305,0.0000
8,0.8326,0.0000
9,0.8351,0.0000
10,0.8341,0.0000
11,0.8326,0.0000
12,0.8357,0.0000
13,0.8365,0.0000
14,0.8365,0.0000
15,0.8356,0.0000
16,0.8352,0.0000
17,0.8368,0.0000
18,0.8355,0.0000
19,0.8382,0.0000
20,0.8352,0.0000
21,0.8369,0.0000
22,0.8362,0.0000
23,0.8385,0.0000
24,0.8411,0.0000
25,0.8388,0.0000
26,0.8386,0.0000
27,0.8402,0.0000
28,0.8380,0.0000
29,0.8384,0.0000
30,0.8370,0.0000
31,0.8356,0.0000
32,0.8325,0.0000
33,0.8357,0.0000
34,0.8352,0.0000
35,0.8350,0.0000
36,0.8367,0.0000
37,0.8350,0.0000
38,0.8336,0.0000
39,0.8368,0.0000
40,0.8373,0.0000
41,0.8348,0.0000
42,0.8335,0.0000
43,0.8352,0.0000
44,0.8369,0.0000
45,0.8362,0.0000
46,0.8367,0.0000
47,0.8331,0.0000
48,0.8349,0.0000
49,0.8386,0.0000
50,0.8372,0.0000
