Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.7660,0.0000
2,0.8072,0.0000
3,0.8204,0.0000
4,0.8298,0.0000
5,0.8324,0.0000
6,0.8362,0.0000
7,0.8340,0.0000
8,0.8426,0.0000
9,0.8370,0.0000
10,0.8367,0.0000
11,0.8387,0.0000
12,0.8396,0.0000
13,0.8358,0.0000
14,0.8410,0.0000
15,0.8424,0.0000
16,0.8469,0.0000
17,0.8414,0.0000
18,0.8438,0.0000
19,0.8423,0.0000
20,0.8426,0.0000
21,0.8430,0.0000
22,0.8451,0.0000
23,0.8451,0.0000
24,0.8442,0.0000
25,0.8430,0.0000
26,0.8443,0.0000
27,0.8448,0.0000
28,0.8460,0.0000
29,0.8455,0.0000
30,0.8445,0.0000
31,0.8476,0.0000
32,0.8450,0.0000
33,0.8462,0.0000
34,0.8422,0.0000
35,0.8450,0.0000
36,0.8428,0.0000
37,0.8441,0.0000
38,0.8444,0.0000
39,0.8457,0.0000
40,0.8444,0.0000
41,0.8422,0.0000
42,0.8437,0.0000
43,0.8422,0.0000
44,0.8422,0.0000
45,0.8437,0.0000
46,0.8442,0.0000
47,0.8427,0.0000
48,0.8441,0.0000
49,0.8442,0.0000
50,0.8449,0.0000
