Round,Avg Accuracy,Std Accuracy
0,0.0981,0.0000
1,0.9521,0.0000
2,0.9826,0.0000
3,0.9880,0.0000
4,0.9889,0.0000
5,0.9890,0.0000
6,0.9895,0.0000
7,0.9901,0.0000
8,0.9906,0.0000
9,0.9912,0.0000
10,0.9910,0.0000
11,0.9908,0.0000
12,0.9912,0.0000
13,0.9909,0.0000
14,0.9916,0.0000
15,0.9915,0.0000
16,0.9913,0.0000
17,0.9914,0.0000
18,0.9915,0.0000
19,0.9915,0.0000
20,0.9914,0.0000
21,0.9914,0.0000
22,0.9913,0.0000
23,0.9915,0.0000
24,0.9913,0.0000
25,0.9917,0.0000
26,0.9914,0.0000
27,0.9917,0.0000
28,0.9918,0.0000
29,0.9915,0.0000
30,0.9920,0.0000
31,0.9917,0.0000
32,0.9917,0.0000
33,0.9916,0.0000
34,0.9917,0.0000
35,0.9919,0.0000
36,0.9915,0.0000
37,0.9915,0.0000
38,0.9917,0.0000
39,0.9914,0.0000
40,0.9914,0.0000
41,0.9916,0.0000
42,0.9917,0.0000
43,0.9914,0.0000
44,0.9915,0.0000
45,0.9916,0.0000
46,0.9918,0.0000
47,0.9912,0.0000
48,0.9914,0.0000
49,0.9915,0.0000
50,0.9915,0.0000
