Round,Avg Accuracy,Std Accuracy
0,0.1024,0.0000
1,0.5312,0.0000
2,0.5591,0.0000
3,0.5613,0.0000
4,0.5677,0.0000
5,0.5755,0.0000
6,0.5688,0.0000
7,0.5725,0.0000
8,0.5774,0.0000
9,0.5699,0.0000
10,0.5755,0.0000
11,0.5712,0.0000
12,0.5697,0.0000
13,0.5695,0.0000
14,0.5800,0.0000
15,0.5705,0.0000
16,0.5718,0.0000
17,0.5768,0.0000
18,0.5753,0.0000
19,0.5725,0.0000
20,0.5746,0.0000
21,0.5757,0.0000
22,0.5766,0.0000
23,0.5699,0.0000
24,0.5751,0.0000
25,0.5753,0.0000
26,0.5763,0.0000
27,0.5727,0.0000
28,0.5757,0.0000
29,0.5740,0.0000
30,0.5714,0.0000
31,0.5697,0.0000
32,0.5776,0.0000
33,0.5830,0.0000
34,0.5744,0.0000
35,0.5781,0.0000
36,0.5804,0.0000
37,0.5830,0.0000
38,0.5759,0.0000
39,0.5763,0.0000
40,0.5727,0.0000
41,0.5778,0.0000
42,0.5772,0.0000
43,0.5744,0.0000
44,0.5804,0.0000
45,0.5701,0.0000
46,0.5735,0.0000
47,0.5781,0.0000
48,0.5746,0.0000
49,0.5766,0.0000
50,0.5778,0.0000
