Round,Avg Accuracy,Std Accuracy
0,0.0308,0.0000
1,0.5022,0.0000
2,0.5471,0.0000
3,0.5606,0.0000
4,0.5680,0.0000
5,0.5622,0.0000
6,0.5667,0.0000
7,0.5714,0.0000
8,0.5800,0.0000
9,0.5796,0.0000
10,0.5798,0.0000
11,0.5811,0.0000
12,0.5817,0.0000
13,0.5735,0.0000
14,0.5778,0.0000
15,0.5742,0.0000
16,0.5723,0.0000
17,0.5746,0.0000
18,0.5738,0.0000
19,0.5791,0.0000
20,0.5768,0.0000
21,0.5783,0.0000
22,0.5755,0.0000
23,0.5791,0.0000
24,0.5813,0.0000
25,0.5796,0.0000
26,0.5837,0.0000
27,0.5781,0.0000
28,0.5822,0.0000
29,0.5819,0.0000
30,0.5781,0.0000
31,0.5802,0.0000
32,0.5791,0.0000
33,0.5800,0.0000
34,0.5811,0.0000
35,0.5869,0.0000
36,0.5830,0.0000
37,0.5794,0.0000
38,0.5787,0.0000
39,0.5802,0.0000
40,0.5806,0.0000
41,0.5837,0.0000
42,0.5845,0.0000
43,0.5819,0.0000
44,0.5839,0.0000
45,0.5817,0.0000
46,0.5828,0.0000
47,0.5854,0.0000
48,0.5867,0.0000
49,0.5828,0.0000
50,0.5924,0.0000
